2017.11.16-11:18:19 ['家乐福(张集店)', '34.051832', '119.659432', '江苏省盐城市响水县X206(小佃公路)']
2017.11.16-11:18:19 ['家乐福(建湖汇文店)', '33.472553', '119.799986', '江苏省盐城市建湖县汇文东路34号']
2017.11.16-11:18:19 ['家乐福百货经营部', '34.015419', '119.847218', '江苏省盐城市滨海县人民北路']
2017.11.16-11:18:20 ['家乐福超市', '34.143119', '119.94065', '江苏省盐城市滨海县坎舍线']
2017.11.16-11:18:20 ['家乐福超市', '34.05205', '119.974134', '江苏省盐城市滨海县']
2017.11.16-11:18:21 ['家乐福酒业烟酒经营部', '34.190218', '119.587711', '江苏省盐城市响水县幸福路']
2017.11.16-11:18:21 ['家乐福布艺家纺', '33.883888', '120.241803', '江苏省盐城市射阳县商业街']
2017.11.16-11:18:21 ['家乐福服饰', '32.846015', '120.588087', '江苏省盐城市东台市振兴南路']
2017.11.16-11:18:22 ['大润发(盐城盐都店)', '33.355365', '120.16044', '江苏省盐城市亭湖区解放南路230号']
2017.11.16-11:18:23 ['大润发(先锋岛店)', '33.387231', '120.129999', '江苏省盐城市亭湖区建军西路44号']
2017.11.16-11:18:23 ['大润发', '34.205339', '120.113282', '江苏省盐城市滨海县兴淮东路']
2017.11.16-11:18:23 ['大润发', '34.124011', '120.004875', '江苏省盐城市滨海县阜东路']
2017.11.16-11:18:24 ['大润发', '34.03409', '120.140252', '江苏省盐城市滨海县坍北路']
2017.11.16-11:18:24 ['大润发', '33.595693', '119.614158', '江苏省盐城市阜宁县建新东路167号']
2017.11.16-11:18:24 ['大润发', '33.796613', '119.797291', '江苏省盐城市阜宁县向阳路165号']
2017.11.16-11:18:25 ['大润发', '34.37806', '119.82876', '江苏省盐城市响水县人民东路']
2017.11.16-11:18:25 ['大润发', '34.267678', '119.6916', '江苏省盐城市响水县']
2017.11.16-11:18:26 ['淮安大润发', '33.969905', '119.997752', '江苏省盐城市滨海县三三线']
2017.11.16-11:18:26 ['吴江大润发', '34.289072', '120.107994', '江苏省盐城市滨海县东罾大道']
2017.11.16-11:18:26 ['大润发(射阳店)', '33.781099', '120.264899', '江苏省盐城市射阳县红旗路41号']
2017.11.16-11:18:27 ['吴江大润发超市', '32.678493', '120.487949', '江苏省盐城市东台市庙桥南路']
2017.11.16-11:18:27 ['大润发(师苑路)', '34.003131', '119.839947', '江苏省盐城市滨海县人民南路86号']
2017.11.16-11:18:27 ['大润发(大丰店)', '33.210066', '120.470881', '江苏省盐城市大丰市幸福东大街17-1号']
2017.11.16-11:18:31 ['大润发(建湖店)', '33.480013', '119.795987', '江苏省盐城市建湖县向阳西路122号']
2017.11.16-11:18:31 ['大润发(金鹰红兰名苑东南)', '32.857783', '120.321849', '江苏省盐城市东台市望海路18']
2017.11.16-11:18:31 ['吴江大润发大冈店', '33.194548', '120.120777', '江苏省盐城市盐都区新军路']
2017.11.16-11:18:32 ['芙罗兰(盐城滨海大润发店)', '34.007131', '119.842345', '江苏省盐城市滨海县人民中路62号']
