2017.11.16-12:17:35 ['家乐福(湖东店)', '31.689001', '118.515756', '安徽省马鞍山市花山区香林路']
2017.11.16-12:17:36 ['大润发', '31.689969', '118.495152', '安徽省马鞍山市雨山区湖南路46号']
2017.11.16-12:17:36 ['大润发(马鞍山市花山店)', '31.706124', '118.522108', '安徽省马鞍山市花山区湖北东路479号']
2017.11.16-12:17:36 ########### except 2 ######################
2017.11.16-12:17:36 ########### except 2 ######################
2017.11.16-12:17:37 ########### except 2 ######################
2017.11.16-12:17:37 ########### except 2 ######################
2017.11.16-12:17:37 ########### except 2 ######################
2017.11.16-12:17:37 ########### except 2 ######################
2017.11.16-12:17:38 ['大润发(安庆店)', '30.529839', '117.062904', '安徽省安庆市迎江区市府路2-14']
2017.11.16-12:17:39 ['大润发时代购物广场', '30.160175', '116.145875', '安徽省安庆市宿松县S213(孚玉路)']
2017.11.16-12:17:39 ########### except 2 ######################
2017.11.16-12:17:39 ########### except 2 ######################
2017.11.16-12:17:39 ########### except 2 ######################
2017.11.16-12:17:40 ['大润发(滁州店)', '32.300279', '118.318502', '安徽省滁州市琅琊区丰乐北路287号']
2017.11.16-12:17:40 ['大润发(明光店)', '32.781575', '118.016863', '安徽省滁州市明光市明涧路2号']
2017.11.16-12:17:41 ['大润发(定远店)', '32.523648', '117.696438', '安徽省滁州市定远县S101(鲁肃大道)']
2017.11.16-12:17:42 ['家乐福建材超市', '30.62425', '117.519518', '安徽省池州市贵池区永明路']
2017.11.16-12:17:42 ########### except 2 ######################
2017.11.16-12:17:42 ########### except 2 ######################
2017.11.16-12:17:43 ########### except 2 ######################
2017.11.16-12:17:43 ########### except 2 ######################
2017.11.16-12:17:43 ########### except 2 ######################
2017.11.16-12:17:43 ########### except 2 ######################

8s
