品牌,商场名,地址
大润发,上海市 - 闸北店,上海市闸北区共和新路3318号
大润发,上海市 - 杨浦店,上海市杨浦区黄兴路1618号
大润发,上海市 - 大华店,上海市华灵路1051号
大润发,上海市 - 松江店,上海市松江区荣乐中路552-652号
大润发,上海市 - 春申店,上海市闵行区春申路2801号
大润发,上海市 - 康桥店,上海市浦东新区康桥镇秀沿路1132-1180号
大润发,上海市 - 大宁店,上海市闸北区共和新路2008号
大润发,上海市 - 奉贤店,上海市奉贤区南桥镇南亭公路601号
大润发,上海市 - 曹安店,上海市嘉定区新郁路807号
大润发,上海市 - 平型关店,上海市闸北区俞泾港路1号
大润发,上海市 - 三林店,上海市浦东新区长清路1200弄1号
大润发,上海市 - 泗泾店,上海市松江区泗泾镇横港路18弄68号
大润发,上海市 - 华漕店,上海市闵行区华漕镇繁兴路399弄2号
大润发,上海市 - 安亭店,上海市嘉定区墨玉南路1099号
大润发,上海市 - 泥城店,上海市浦东新区南芦公路1757号
大润发,上海市 - 美兰湖店,上海市宝山区月罗路2380号
大润发,上海市 - 南翔店,上海市沪宜公路1030弄1号（原沪宜公路1000号）
大润发,苏州市 - 东环店,江苏省苏州市工业园区东环路1500号
大润发,南京市 - 瑞金店,南京市秦淮区龙蟠中路260号
大润发,苏州市 - 常熟店,常熟市琴湖路168号
大润发,常州市 - 关河店,江苏省常州市天宁区关河东路58号
大润发,南通市 - 八仙城店,江苏省南通市崇川区人民中路86号 
大润发,扬州市 - 邗江店,扬州市邗江路2号
大润发,苏州市 - 昆山店,昆山市开发区朝阳中路518号
大润发,无锡市 - 滨湖店,无锡市青祁路66号
大润发,苏州市 - 苏福店,江苏省苏州市姑苏区解放东路13号
大润发,苏州市 - 张家港店,张家港市杨舍镇沙洲中路288号
大润发,徐州市 - 西关建国店,徐州市煤建路8号
大润发,南京市 - 龙江店,江苏省南京市鼓楼区草场门大街95号
大润发,南京市 - 鼓楼店,南京市玄武区丹凤街街道39号
大润发,苏州市 - 何山店,苏州市高新区滨河路1823号
大润发,无锡市 - 江阴店,江苏省江阴市延陵路528号
大润发,镇江市 - 润州店,镇江市中山东路382号
大润发,苏州市 - 吴江店,江苏省苏州市吴江区松陵镇笠泽路155号
大润发,无锡市 - 城北店,宜兴市宜城镇阳羡东路358号
大润发,常州市 - 溧阳店,溧阳市燕山中路11号
大润发,苏州市 - 相城店,苏州市相城区经济开发区华元路99号
大润发,泰州市 - 泰兴店,泰兴市中兴大道169号
大润发,扬州市 - 广陵店,扬州市文昌中路168号
大润发,苏州市 - 太仓店,江苏省太仓市城厢镇太平南路18号
大润发,南通市 - 如皋店,江苏省如皋市如城镇福寿路199号
大润发,南通市 - 通州店,江苏省南通市通州区金沙镇建设路18号
大润发,苏州市 - 盛泽店,苏州市吴江区盛泽镇舜新中路281号
大润发,宿迁市 - 宿迁店,宿迁市洪泽湖路98号
大润发,连云港市 - 连云港店,连云港市新浦区郁洲北路15号
大润发,常州市 - 武进店,常州市武进区湖塘镇长虹中路与花园街东北角
大润发,盐城市 - 建湖店,江苏省盐城市建湖县向阳西路128号
大润发,苏州市 - 塘桥店,张家港市塘桥镇南京西路298号
大润发,苏州市 - 浒关店,苏州高新区浒关镇文昌路301号
大润发,常州市 - 怀德店,江苏省常州市钟楼区怀德中路133号
大润发,苏州市 - 宝带店,江苏省苏州市姑苏区沧浪新城宝带西路1155号2幢
大润发,盐城市 - 东台店,东台市望海西路与红兰路交叉口西北角
大润发,泰州市 - 兴化店,兴化市英武南路168号
大润发,宿迁市 - 沭阳店,沭阳县沭城镇上海南路与苏州西路交汇处
大润发,盐城市 - 大丰店,江苏省盐城市大丰区幸福东大街7号           
大润发,徐州市 - 东关世茂店,徐州市三环东路与兵马俑路交叉口西南角
大润发,镇江市 - 句容店,句容市华阳东路与北大街交汇处西南角
大润发,苏州市 - 千灯店,昆山市千灯镇尚书路8号
大润发,盐城市 - 盐都店,盐城市解放南路239号
大润发,南通市 - 任港店,江苏省南通市任港路50号
大润发,淮安市 - 涟水店,淮安市涟水县安东路与常青路交汇处西北角
大润发,无锡市 - 城南店,宜兴市宜城街道氿滨南路126号
大润发,盐城市 - 先峰岛店,盐城市建军西路1-2号
大润发,连云港市 - 中山西路店,江苏省连云港市连云区中山西路与平山路交汇处
大润发,泰州市 - 高港店,江苏省泰州市高港区金港中路1号
大润发,苏州市 - 金港店,张家港市金港镇黄泗浦西路1号
大润发,镇江市 - 京口店,镇江市京口区老山路与焦山路西北侧
大润发,扬州市 - 维扬店,江苏省扬州市邗江区竹西路2号
大润发,苏州市 - 广济店,苏州市广济南路19号
大润发,宿迁市 - 泗洪店,泗洪县富园广场21幢
大润发,苏州市 - 前进店,江苏省昆山市开发区前进东路205号
大润发,镇江市 - 大港店,镇江市新区大港扬子江路123号
大润发,淮安市 - 淮阴店,淮阴区承德北路与黄河东路交汇处东北角
大润发,淮安市 - 盱眙店,江苏省淮安市盱眙县都梁大道与东湖南路交汇处
大润发,常州市 - 丽华店,江苏省常州市天宁区丽华北路59号天鹅湖花园16幢
