品牌,商场名,地址,开店日期
永辉,宁波市 宁波新城吾悦广场店,浙江省宁波市镇海区望海南路与永茂西路交叉口吾悦广场负一层（永辉超市）,2017-11-24
永辉,平顶山市 平顶山万达广场店,河南省平顶山市卫东区建设路,2017-11-24
永辉,眉山市 中铁仁禾广场店,四川省眉山市仁寿县文林镇仁寿大道二段13号中铁仁禾广场13栋负一楼498-502号,2017-11-22
永辉,西安市 高新店,陕西省西安市高新区木塔寨西路719号万达广场负一层,2017-11-18
永辉,六安市 海心沙店,安徽省六安市金安区梅山北路与华山路交口海心沙广场,2017-11-18
永辉,南昌市 铜锣湾广场店,南昌市红谷滩新区丰和中大道与庐山南大道交汇口东北角,2017-11-17
永辉,铜陵市 铜陵万达店,安徽省铜陵市郊区石城大道中段,2017-11-10
永辉,江津区 江津双福店,重庆市江津区双福新区津马大道（双福管委会旁）,2017-11-03
永辉,合肥市 保利广场店,合肥市瑶海区新安江路和郎溪路交口保利广场负一楼,2017-11-03
永辉,南京市 金盛田广场店,江苏省南京市浦口区龙华路与浦口大道交汇处金盛田广场,2017-10-28
永辉,九龙坡区 龙湖新壹城店,重庆市九龙坡区大杨石组团H分区龙湖新壹城,2017-10-28
永辉,杭州市 金渡北路店,浙江省杭州市古墩路与金渡北路交汇处oopcity,2017-10-28
永辉,綦江县 綦江万达店,重庆市綦江区文龙街道办事处通惠大道二号桥左侧100米（滨河大道）,2017-10-27
永辉,合肥市 包河万达店,安徽省合肥市包河区马鞍山路130号,2017-10-27
永辉,杭州市 地铁东城广场店,浙江省杭州市江干区九沙大道399号二层西侧L268,2017-10-27
永辉,绍兴市 嵊州新城吾悦广场店,浙江省绍兴市嵊州市三江街道兴盛街666号B1001-1号,2017-10-27
永辉,合肥市 融侨悦城店,安徽省合肥市庐阳区阜阳北路融侨悦城,2017-10-27
永辉,宜宾市 江安南屏首座店,四川省宜宾市江安县南屏首座负一楼,2017-10-25
永辉,大同市 大同万达店,山西省大同市南环路与永和路交汇处东北角万达广场永辉超市,2017-10-20
永辉,资阳市 安岳中央时代广场店,四川省资阳市安岳县柠都大道与秦九韶路交汇处东北角,2017-10-18
永辉,遵义市 潞源广场店,贵州省遵义市绥阳县洋川镇红旗西路潞源广场,2017-10-06
永辉,平顶山市 平顶山文化宫店,河南省平顶山市体育路锦绣街交叉口,2017-10-01
永辉,福州市 世欧广场店,福建省福州市晋安区象园街道晋连路19号世欧广场南区负一楼,2017-10-01
永辉,郑州市 荥阳国泰路店,河南省郑州荥阳市国泰路与惠民路交汇处东南角,2017-10-01
永辉,漳州市 万科里店,福建省漳州市芗城区金峰南路101号万科里一层,2017-09-30
永辉,深圳市 乐汇城店,广东省深圳市龙岗区坂田街道吉华路999号乐汇城2楼,2017-09-30
