城市,超市总数
上海市,85
四川省成都市,66
北京市,80
辽宁省沈阳市,37
云南省昆明市,29
湖北省武汉市,29
广东省深圳市,75
重庆市,138
江苏省苏州市,60
黑龙江省哈尔滨市,19
天津市,45
江苏省无锡市,34
江苏省南京市,25
河北省石家庄市,15
安徽省合肥市,40
辽宁省大连市,19
广东省广州市,57
广东省东莞市,31
新疆维吾尔自治区乌鲁木齐市,3
山东省青岛市,19
湖南省长沙市,20
河南省郑州市,25
海南省海口市,7
浙江省宁波市,49
山西省太原市,6
江西省南昌市,30
福建省厦门市,29
福建省福州市,81
安徽省亳州市,3
安徽省蚌埠市,5
浙江省温州市,13
浙江省嘉兴市,18
浙江省杭州市,34
云南省曲靖市,4
四川省资阳市,2
四川省遂宁市,2
四川省达州市,5
山东省济南市,14
内蒙古自治区呼和浩特市,2
辽宁省营口市,4
辽宁省抚顺市,3
江苏省徐州市,7
江苏省泰州市,7
江苏省南通市,11
江苏省常州市,12
湖南省株洲市,6
湖北省孝感市,5
黑龙江省绥化市,2
河南省洛阳市,6
河北省秦皇岛市,2
河北省廊坊市,4
河北省保定市,4
贵州省贵阳市,15
广东省珠海市,9
广东省中山市,12
广东省肇庆市,6
广东省惠州市,14
安徽省宿州市,3
安徽省马鞍山市,6
安徽省安庆市,2
广东省佛山市,23
广东省湛江市,9
四川省绵阳市,10
广西壮族自治区南宁市,8
陕西省西安市,57
浙江省金华市,8
福建省泉州市,25
湖南省娄底市,4
吉林省长春市,11
福建省宁德市,8
云南省红河哈尼族彝族自治州,3
福建省莆田市,12
广东省河源市,2
广东省清远市,5
贵州省遵义市,8
湖北省黄冈市,3
湖北省荆州市,4
湖北省咸宁市,2
湖北省宜昌市,4
湖南省岳阳市,3
江西省新余市,3
四川省德阳市,7
四川省乐山市,3
四川省南充市,8
四川省攀枝花市,2
四川省自贡市,2
云南省楚雄彝族自治州,2
云南省大理白族自治州,2
浙江省湖州市,6
安徽省阜阳市,5
安徽省六安市,3
安徽省芜湖市,8
福建省三明市,10
福建省漳州市,11
广东省揭阳市,1
广东省茂名市,3
广东省汕头市,1
广东省韶关市,4
广东省阳江市,4
广西壮族自治区桂林市,1
广西壮族自治区来宾市,1
广西壮族自治区钦州市,2
广西壮族自治区梧州市,2
贵州省毕节市,1
贵州省六盘水市,3
河北省邯郸市,2
河北省唐山市,9
河北省邢台市,3
河南省安阳市,4
河南省鹤壁市,1
河南省商丘市,2
河南省信阳市,1
黑龙江省齐齐哈尔市,4
湖北省黄石市,1
湖北省荆门市,1
湖北省天门市,2
湖北省仙桃市,1
湖北省襄阳市,3
湖南省郴州市,1
湖南省益阳市,1
吉林省松原市,3
江苏省扬州市,9
江苏省镇江市,10
江西省抚州市,5
江西省吉安市,2
江西省景德镇市,2
江西省九江市,4
江西省萍乡市,1
江西省宜春市,3
江西省鹰潭市,1
辽宁省锦州市,2
内蒙古自治区包头市,3
内蒙古自治区赤峰市,1
内蒙古自治区鄂尔多斯市,2
内蒙古自治区通辽市,2
山东省济宁市,5
山东省潍坊市,5
山东省淄博市,4
山西省大同市,3
山西省晋中市,1
山西省吕梁市,1
山西省阳泉市,1
山西省运城市,1
四川省巴中市,1
四川省凉山彝族自治州,1
四川省眉山市,4
四川省宜宾市,4
云南省丽江市,1
云南省临沧市,1
云南省普洱市,1
云南省文山壮族苗族自治州,1
云南省西双版纳傣族自治州,2
云南省玉溪市,1
云南省昭通市,1
浙江省丽水市,2
浙江省绍兴市,17
江苏省盐城市,13
江苏省淮安市,8
辽宁省鞍山市,9
吉林省吉林市,5
江苏省宿迁市,4
山东省威海市,4
山东省烟台市,7
安徽省滁州市,3
安徽省宣城市,3
广东省江门市,11
广西壮族自治区柳州市,3
安徽省池州市,4
安徽省淮北市,3
广西壮族自治区北海市,2
黑龙江省大庆市,4
黑龙江省佳木斯市,3
黑龙江省牡丹江市,2
江苏省连云港市,2
江西省赣州市,4
辽宁省阜新市,2
辽宁省盘锦市,2
山东省临沂市,3
山东省枣庄市,2
浙江省衢州市,3
浙江省台州市,5
安徽省淮南市,3
安徽省黄山市,2
安徽省铜陵市,3
福建省龙岩市,3
福建省南平市,11
甘肃省兰州市,6
广东省潮州市,1
广东省梅州市,1
广东省云浮市,1
广西壮族自治区玉林市,1
贵州省安顺市,1
贵州省黔西南布依族苗族自治州,2
河北省承德市,1
河南省济源市,2
河南省开封市,3
黑龙江省黑河市,1
黑龙江省七台河市,1
黑龙江省双鸭山市,1
湖北省随州市,1
湖南省常德市,2
湖南省怀化市,1
吉林省白城市,1
吉林省辽源市,1
吉林省延边朝鲜族自治州,1
江西省上饶市,3
辽宁省朝阳市,1
辽宁省葫芦岛市,1
辽宁省辽阳市,4
辽宁省铁岭市,1
宁夏回族自治区银川市,7
青海省西宁市,3
山东省滨州市,1
山东省莱芜市,1
山东省聊城市,1
山东省日照市,1
山东省泰安市,1
陕西省宝鸡市,3
河北省张家口市,4
贵州省黔南布依族苗族自治州,2
河南省焦作市,2
河南省平顶山市,2
河南省新乡市,2
河南省许昌市,2
四川省广安市,3
贵州省铜仁市,1
河北省衡水市,1
河南省三门峡市,2
陕西省渭南市,4
陕西省咸阳市,6
四川省广元市,1
四川省泸州市,1
四川省内江市,1
辽宁省丹东市,4
福建省福州,2
陕西省商洛市,2
新疆乌鲁木齐市,2
福建省晋江市,1
甘肃省白银市,1
甘肃省酒泉市,1
甘肃省张掖市,1
广西壮族自治区白色市,1
河北省沧州市,1
湖南省衡阳市,1
辽宁省本溪市,1
内蒙古自治区锡林郭勒盟,1
宁夏回族自治区中卫市,1
陕西省安康市,1
陕西省汉中市,1
陕西省铜川市,1
陕西省延安市,1
浙江省舟山市,1
