县/县级市/区,五大超市总和
东莞市,28
渝北区,24
北京市朝阳区,23
晋安区,20
浦东新区,20
宝安区,18
仓山区,18
武侯区,18
福州市鼓楼区,16
南岸区,15
沙坪坝区,15
九龙坡区,14
海淀区,13
道里区,12
金水区,12
闵行区,12
雁塔区,12
重庆市江北区,12
包河区,11
成华区,11
龙岗区,11
思明区,11
上海市宝山区,10
蜀山区,10
台江区,10
吴中区,10
丰台区,9
福田区,9
嘉定区,9
盘龙区,9
青羊区,9
瑶海区,9
中山市,9
金牛区,8
上海市普陀区,8
松江区,8
渝中区,8
涪城区,7
广州市白云区,7
邗江区,7
湖里区,7
南海区,7
綦江区,7
沈河区,7
沈阳市铁西区,7
巴南区,6
碑林区,6
滨湖区,6
昌平区,6
肥西县,6
姑苏区,6
官渡区,6
惠阳区,6
京口区,6
昆山市,6
罗湖区,6
深圳市南山区,6
五华区,6
西山区,6
中原区,6
北京市通州区,5
城区,5
崇川区,5
大渡口区,5
福清市,5
汉阳区,5
杭州市西湖区,5
江干区,5
锦江区,5
晋江市,5
旌阳区,5
鲤城区,5
历下区,5
马尾区,5
闽侯县,5
南湖区,5
南京市鼓楼区,5
南明区,5
浦口区,5
青浦区,5
石家庄市桥东区,5
石狮市,5
吴江区,5
香坊区,5
新都区,5
徐汇区,5
余杭区,5
越城区,5
云岩区,5
灞桥区,4
北碚区,4
长乐市,4
常熟市,4
崇安区,4
慈溪市,4
大兴区市,4
东坡区,4
番禺区,4
海沧区,4
海珠区,4
洪山区,4
虎丘区,4
惠城区,4
惠山区,4
江岸区,4
江汉区,4
江津区,4
江阴市,4
金安区,4
荔城区,4
莲湖区,4
庐阳区,4
南关区,4
南开区,4
郫县,4
麒麟区,4
秦淮区,4
青山湖区,4
青云谱区,4
石家庄市桥西区,4
市北区,4
双流县,4
顺庆区,4
田家庵区,4
亭湖区,4
万州区,4
未央区,4
乌当区,4
武昌区,4
武进区,4
西岗区,4
盐都区,4
张家港市,4
钟山区,4
蚌山区,3
璧山县,3
滨海新区,3
滨江区,3
禅城区,3
昌邑区,3
城厢区,3
端州区,3
峨眉山市,3
房山区,3
肥东县,3
丰泽区,3
富阳市,3
甘井子区,3
拱墅区,3
广阳区,3
海陵区,3
涵江区,3
合川区,3
河西区,3
红花岗区,3
虹口区,3
花山区,3
惠安县,3
集美区,3
佳木斯市,3
建华区,3
建瓯市,3
建邺区,3
江城区,3
静安区,3
开封市,3
开福区,3
柯城区,3
荔湾区,3
龙凤区,3
龙泉驿区,3
龙文区,3
庐山区,3
鹿城区,3
绿园区,3
梅列区,3
南安市,3
南通市通州区,3
宁江区,3
彭州市,3
硚口区,3
青秀区,3
琼山区,3
荣昌县,3
瑞安市,3
绍兴县,3
沈阳市和平区,3
石家庄市新华区,3
石景山区,3
顺德区,3
顺义区,3
太仓市,3
天河区,3
天心区,3
潼南县,3
温江区,3
文峰区,3
西工区,3
西陵区,3
西乡塘区,3
霞浦县,3
下城区,3
仙游县,3
芗城区,3
香洲区,3
萧山区,3
小店区,3
孝南区,3
新罗区,3
玄武区,3
杨浦区,3
宜兴市,3
鄞州区,3
颍州区,3
永安市,3
埇桥区,3
雨花区,3
雨花台区,3
裕华区,3
岳阳楼区,3
张店区,3
诸暨市,3
鞍山市铁东区,2
鞍山市铁西区,2
北辰区,2
北仑区,2
苍南县,2
长春市朝阳区,2
长宁区,2
长寿区,2
城阳区,2
赤坎区,2
崇州市,2
楚雄市,2
翠屏区,2
大东区,2
大观区,2
大理市,2
大竹县,2
大足区,2
东城区,2
东湖区,2
二七区,2
樊城区,2
奉化市,2
高明区,2
管城回族区,2
广汉市,2
广陵区,2
贵池区,2
海宁市,2
海曙区,2
花都区,2
花溪区,2
淮安区,2
环翠区,2
皇姑区,2
黄陂区,2
黄岛区,2
汇川区,2
惠东县,2
惠济区,2
济源市,2
嘉善县,2
简阳市,2
建湖县,2
建阳市,2
江东区,2
江宁区,2
江阳区,2
江油市,2
胶州市,2
蕉城区,2
金山区,2
金堂县,2
金州区,2
景洪市,2
科尔沁区,2
宽城区,2
奎文区,2
兰山区,2
琅琊区,2
乐清市,2
溧阳市,2
连江县,2
莲都区,2
梁平县,2
梁园区,2
林州市,2
临安市,2
临川区,2
临渭区,2
龙海市,2
龙华区,2
娄星区,2
路北区,2
路南区,2
罗甸县,2
南昌市西湖区,2
南昌县,2
南川区,2
南岗区,2
宁化县,2
平阳县,2
七星关区,2
青白江区,2
清城区,2
清河区,2
邛崃市,2
泉港区,2
泉山区,2
任城区,2
如皋市,2
赛罕区,2
三河市,2
沙河口区,2
沙市,2
上城区,2
上虞市,2
射洪县,2
嵊州市,2
石家庄市长安区,2
市南区,2
松溪县,2
天津市河东区,2
天门市,2
