营业额,利润,公司简称
"42,581.40","-30,824.31",神州高铁(000008)
"171,125.22","344,253.06",泛海控股(000046)
"409,703.08","28,405.87",北方国际(000065)
"39,187.92",908.95,中成股份(000151)
"586,705.02","66,365.83",金融街(000402)
"49,192.87","2,943.44",盛达资源(000603)
"91,264.59","3,363.02",渤海股份(000605)
"6,017.49",-993.15,中迪投资(000609)
"172,466.59","-58,354.33",新华联(000620)
"166,969.61","55,113.96",经纬纺机(000666)
"6,086,707.35","59,721.79",京东方A(000725)
"556,523.75","42,147.48",燕京啤酒(000729)
"321,492.79","11,144.41",中色股份(000758)
"692,188.88","110,439.09",北新建材(000786)
"15,273.73","-4,484.29",中水渔业(000798)
564.85,"-6,528.71",北京文化(000802)
"155,936.04","9,604.71",财信发展(000838)
"147,982.20","-18,825.50",中信国安(000839)
"952,027.92","78,171.38",顺鑫农业(000860)
"37,358.70","2,891.37",华联股份(000882)
"76,497.53","3,592.16",中关村(000931)
"2,554,898.69","184,458.09",紫光股份(000938)
"3,368,682.96","75,574.79",首钢股份(000959)
"235,553.25","14,982.94",安泰科技(000969)
"166,066.86","5,555.86",中科三环(000970)
"1,755.07",410,中国中期(000996)
"229,918.83","-43,035.90",招商公路(001965)
"53,716.04","22,280.83",双鹭药业(002038)
"352,592.63","10,947.20",中工国际(002051)
"363,985.84","41,265.23",东华软件(002065)
"197,537.09","4,094.11",瑞泰科技(002066)
"8,521.18",563.63,北纬科技(002148)
"160,296.17","6,318.06",北斗星通(002151)
"136,568.77","7,040.99",石基信息(002153)
"31,260.92","-15,843.74",全聚德(002186)
"878,306.87","139,766.80",东方雨虹(002271)
"126,460.17","-12,163.10",久其软件(002279)
"4,261.00",-372.02,ST云网(002306)
"177,732.24","-23,381.09",东方园林(002310)
"79,988.82","-1,162.65",北京科锐(002350)
"56,172.13","5,706.96",汉王科技(002362)
"299,688.62","2,479.83",太极股份(002368)
"217,699.68","25,076.22",北方华创(002371)
"371,415.72","58,751.85",千方科技(002373)
"69,243.67","-19,752.09",合众思壮(002383)
"899,172.68","124,321.28",大北农(002385)
"209,182.19","26,779.17",北京利尔(002392)
"96,148.06","-18,694.73",四维图新(002405)
"157,924.32","17,777.03",广联达(002410)
"75,458.83","-6,723.82",启明星辰(002439)
"971,172.87","31,208.28",嘉事堂(002462)
"48,873.49","14,292.45",二六三(002467)
"19,961.04","-1,091.62",弘高创意(002504)
"204,499.64","12,519.21",中化岩土(002542)
"42,043.90","-15,082.17",惠博普(002554)
"120,802.01","15,079.80",清新环境(002573)
"82,407.73","-1,364.88",盛通股份(002599)
"122,894.45",-877.71,朗姿股份(002612)
"103,250.01","1,051.63",荣联科技(002642)
"198,527.88","13,903.50",博彦科技(002649)
"42,493.25","-2,150.96",中科金财(002657)
"37,415.24","1,125.27",雪迪龙(002658)
"158,034.54","15,162.86",京威股份(002662)
"18,091.44","-8,716.89",首航高科(002665)
"464,298.34","37,013.62",奥瑞金(002701)
"121,728.58","-26,454.10",众信旅游(002707)
"85,776.81","-27,979.20",东易日盛(002713)
"189,786.04","-34,600.69",金一文化(002721)
"51,882.12","9,878.99",中矿资源(002738)
"197,231.11","-166,794.61",万达电影(002739)
"150,226.65","26,310.10",奥赛康(002755)
"24,087.64",541.05,真视通(002771)
"18,723.96",-527.18,三夫户外(002780)
"45,800.10","2,435.06",东方中科(002819)
"20,775.97","3,632.84",星网宇达(002829)
"84,835.12","8,967.32",元隆雅图(002878)
"58,699.93","9,241.58",华通热力(002893)
"13,904.64","6,039.10",新兴装备(002933)
"25,358.47","3,106.82",豪尔赛(002963)
"22,862.90","12,725.40",北摩高科(002985)
"96,670.58","10,111.03",京北方(002987)
"121,467.82","3,824.11",天地在线(002995)
"29,360.78","9,143.22",竞业达(003005)
"13,129.97",-171.55,直真科技(003007)
"6,086,707.35","59,721.79",京东方B(200725)
"129,574.87","11,043.20",神州泰岳(300002)
"423,783.92","137,540.93",乐普医疗(300003)
"29,724.07","-16,615.57",探路者(300005)
"71,311.85","-11,659.85",豆神教育(300010)
"54,198.14","1,444.66",鼎汉技术(300011)
"36,761.70","9,926.44",北陆药业(300016)
"66,841.53","13,656.32",钢研高纳(300034)
"52,321.13","3,897.29",超图软件(300036)
"237,348.08","15,879.71",数知科技(300038)
"35,521.52","3,671.15",华力创通(300045)
"49,031.73","-20,817.49",合康新能(300048)
"27,049.34","8,110.09",万邦达(300055)
"1,737,457.99","40,206.86",蓝色光标(300058)
"29,103.05",370.01,海兰信(300065)
"325,392.86","9,655.57",碧水源(300070)
"42,551.34","-8,568.25",华谊嘉信(300071)
"276,201.53","-32,841.49",三聚环保(300072)
"109,038.11","17,561.38",当升科技(300073)
"48,653.20","7,651.72",数字政通(300075)
"39,699.24",617.14,数码科技(300079)
"71,645.23","-5,068.14",嘉寓股份(300117)
"8,015.05","1,081.18",晓程科技(300139)
"18,906.10","-2,465.43",世纪瑞尔(300150)
"29,072.17","-7,201.26",恒泰艾普(300157)
"70,482.15","8,049.22",东方国信(300166)
"132,310.16","11,586.49",捷成股份(300182)
"22,049.37","1,336.06",潜能恒信(300191)
"42,043.04","12,962.38",高盟新材(300200)
"16,598.23","-5,828.76",舒泰神(300204)
"120,113.56","18,437.79",易华录(300212)
"44,687.62","7,988.24",佳讯飞鸿(300213)
"35,473.65","1,282.17",北京君正(300223)
"34,387.11","4,914.45",拓尔思(300229)
"90,818.41","10,233.24",银信科技(300231)
"25,918.96","2,152.62",光线传媒(300251)
"83,783.05","-1,025.17",华宇软件(300271)
"12,875.09","-1,264.43",三盛教育(300282)
"53,762.77","-7,617.80",飞利信(300287)
"17,613.35","1,213.68",利德曼(300289)
"5,025.13","5,142.45",华录百纳(300291)
"290,005.40","28,285.73",利亚德(300296)
"9,327.66",619.82,同有科技(300302)
"17,566.99","7,738.84",吉艾科技(300309)
"1,282.13","-3,421.91",邦讯技术(300312)
"92,630.48","55,287.53",掌趣科技(300315)
"27,077.77","-1,168.55",博晖创新(300318)
"107,531.10","-2,615.04",旋极信息(300324)
"73,754.24","1,083.83",天壕环境(300332)
"11,510.75","-4,328.61",太空智造(300344)
"26,514.31","2,894.46",北信源(300352)
"26,413.90","-8,783.51",东土科技(300353)
"41,496.17","3,134.69",中文在线(300364)
"24,426.02","4,241.06",恒华科技(300365)
"6,668.92","-27,893.28",ST网力(300367)
"54,976.42","-2,580.12",绿盟科技(300369)
"15,316.60","-11,503.00",安控科技(300370)
"37,956.86","2,829.96",中铁装配(300374)
"8,405.86","-5,181.80",东方通(300379)
