province,city,conunty,jianchen,quanmin,hangye,yiyee,lirun,guPiaoDaiMa,zhucedi,bangongdi,guanwan,shangshiriqi
安徽省,安庆市,潜山市,华业香料(300886),安徽华业香料股份有限公司,,11447.39 ,2843.28 ,华业香料(300886),安徽省安庆市潜山市舒州大道42号,安徽省安庆市潜山市舒州大道42号,www.anhuihuaye.com,2020/9/16
安徽省,安庆市,太湖经济开发区,集友股份(603429),安徽集友新材料股份有限公司,烟草（III）,20888.02 ,2931.23 ,集友股份(603429),安徽省安庆市太湖经济开发区,安徽省安庆市太湖经济开发区,www.ahjiyou.com.cn,2017/1/24
安徽省,安庆市,迎江区,华茂股份(000850),安徽华茂纺织股份有限公司,服装与服饰,162702.09 ,13954.52 ,华茂股份(000850),安徽省安庆市纺织南路80号,安徽省安庆市纺织南路80号,www.chinahuamao.net,1998/10/7
安徽省,安庆市,岳西县,玉禾田(300815),玉禾田环境发展集团股份有限公司,,205661.41 ,48656.76 ,玉禾田(300815),安徽省安庆市岳西县天馨大道筑梦小镇电商产业园5号楼,安徽省安庆市岳西县天馨大道筑梦小镇电商产业园5号楼,www.eit-sz.com,2020/1/23
安徽省,蚌埠市,禹会区,凯盛科技(600552),凯盛科技股份有限公司,通讯设备,198999.84 ,7854.86 ,凯盛科技(600552),安徽省蚌埠市黄山大道8009号,安徽省蚌埠市黄山大道8009号,www.fangxingkj.com,2002/11/8
安徽省,蚌埠市,中粮大道1号、北京市东城区,中粮科技(000930),中粮生物化学(安徽)股份有限公司,特种化工品,930602.52 ,47488.11 ,中粮科技(000930),安徽省蚌埠市中粮大道1号,安徽省蚌埠市中粮大道1号、北京市东城区建国门内大街8号中粮广场A座7层,www.cofcotech.com,1999/7/12
安徽省,亳州市,谯城区,古井贡酒(000596),安徽古井贡酒股份有限公司,蒸馏酒与葡萄酒,551962.10 ,138077.55 ,古井贡酒(000596),安徽省亳州市古井镇,安徽省亳州市古井镇,www.gujing.com,1996/9/27
安徽省,亳州市,谯城区,古井贡B(200596),安徽古井贡酒股份有限公司,蒸馏酒与葡萄酒,551962.10 ,138077.55 ,古井贡B(200596),安徽省亳州市古井镇,安徽省亳州市古井镇,www.gujing.com,1996/9/27
安徽省,巢湖市,居巢区,新力金融(600318),安徽新力金融股份有限公司,普通金融服务,23305.82 ,9115.46 ,新力金融(600318),安徽省巢湖市长江西路269号,安徽省巢湖市居巢区银屏镇海昌大道,--,2000/12/8
安徽省,池州市,高新区,艾可蓝(300816),安徽艾可蓝环保股份有限公司,,29963.86 ,6479.38 ,艾可蓝(300816),安徽省池州市高新区玉镜路12号,安徽省池州市高新区玉镜路12号,www.act-blue.com,2020/2/10
安徽省,池州市,九华山风景名胜区,九华旅游(603199),安徽九华山旅游发展股份有限公司,旅游业,7692.68 ,-3985.94 ,九华旅游(603199),安徽省池州市九华山风景名胜区九华街,安徽省池州市九华山风景名胜区九华街,www.jiuhuashan.cc,2015/3/26
安徽省,滁州市,凤阳县,德力股份(002571),安徽德力日用玻璃股份有限公司,建材与构件,32275.82 ,75.43 ,德力股份(002571),安徽省滁州市凤阳县工业园,安徽省滁州市凤阳县工业园,www.deliglass.com,2011/4/12
安徽省,滁州市,来安县,金禾实业(002597),安徽金禾实业股份有限公司,通用化工品,182900.18 ,42408.66 ,金禾实业(002597),安徽省滁州市来安县城东大街127号,安徽省来安县城东大街127号,www.jinheshiye.com,2011/7/7
安徽省,滁州市,琅琊区,嘉美包装(002969),嘉美食品包装(滁州)股份有限公司,,58346.57 ,-3993.90 ,嘉美包装(002969),安徽省滁州市苏州北路258号,安徽省滁州市苏州北路258号,www.chinafoodpack.com,2019/12/2
安徽省,滁州市,琅琊区,金春股份(300877),安徽金春无纺布股份有限公司,,,,金春股份(300877),安徽省滁州市南京北路218号,安徽省滁州市南京北路218号,www.czjinchun.com,2020/8/24
安徽省,滁州市,全椒县,全柴动力(600218),安徽全柴动力股份有限公司,工业机械,216884.02 ,11697.04 ,全柴动力(600218),安徽省全椒县吴敬梓路788号,安徽省全椒县吴敬梓路788号,www.quanchai.com.cn,1998/12/3
安徽省,阜阳市,颍州区,金种子酒(600199),安徽金种子酒业股份有限公司,蒸馏酒与葡萄酒,40974.23 ,-8604.74 ,金种子酒(600199),安徽省阜阳市颍州区河滨路302号,安徽省阜阳市莲花路259号,www.jzz.cn,1998/8/12
安徽省,合肥市,包河工业区,丰原药业(000153),安徽丰原药业股份有限公司,制药,157776.24 ,7624.39 ,丰原药业(000153),安徽省无为县北门外大街108号,安徽省合肥市包河工业区纬四路16号,www.bbcayy.com,2000/9/20
安徽省,合肥市,包河区,皖能电力(000543),安徽皖能股份有限公司,电力（IV）,756753.36 ,71843.70 ,皖能电力(000543),安徽省合肥市马鞍山路76号,安徽省合肥市马鞍山路76号能源大厦7-10层,www.wenergy.cn,1993/12/20
安徽省,合肥市,包河区,ST安凯(000868),安徽安凯汽车股份有限公司,商用运载工具与车辆,84341.19 ,-5255.07 ,ST安凯(000868),安徽省合肥市葛淝路1号,安徽省合肥市葛淝路1号,www.ankai.com,1997/7/25
安徽省,合肥市,包河区,东华科技(002140),东华工程科技股份有限公司,建筑施工,122438.44 ,11516.12 ,东华科技(002140),安徽省合肥市长江西路669号高新技术产业开发区内,安徽省合肥市望江东路70号,www.chinaecec.com,2007/7/12
安徽省,合肥市,包河区,中环环保(300692),安徽中环环保科技股份有限公司,水务,33954.51 ,6544.02 ,中环环保(300692),安徽省合肥市阜阳北路948号中正国际广场1幢办1608室,安徽省合肥市包河区大连路1120号中辰未来港B1座23楼,www.ahzhhb.cn,2017/8/21
安徽省,合肥市,包河区,江淮汽车(600418),安徽江淮汽车集团股份有限公司,汽车,2494122.86 ,-25916.09 ,江淮汽车(600418),安徽省合肥市东流路176号,安徽省合肥市东流路176号,www.jac.com.cn,2001/8/24
安徽省,合肥市,包河区,皖新传媒(601801),安徽新华传媒股份有限公司,出版业,374870.89 ,47755.78 ,皖新传媒(601801),安徽省合肥市包河区北京路8号,安徽省合肥市包河区北京路8号,www.ahsxhsd.com,2010/1/18
安徽省,合肥市,包河区,皖天然气(603689),安徽省天然气开发股份有限公司,管道输送,204494.21 ,13626.57 ,皖天然气(603689),安徽省合肥市包河工业园大连路9号,安徽省合肥市包河工业园大连路9号,www.ahtrq.com,2017/1/10
安徽省,合肥市,包河区,常青股份(603768),合肥常青机械股份有限公司,汽车与零配件（II）,103691.54 ,5196.64 ,常青股份(603768),安徽省合肥市东油路18号,安徽省合肥市东油路18号,www.hfcqjx.com,2017/3/24
安徽省,合肥市,包河区,同庆楼(605108),同庆楼餐饮股份有限公司,,47087.32 ,16847.58 ,同庆楼(605108),安徽省合肥市包河区万岗路10号9幢,安徽省合肥市包河区万岗路10号9幢,www.tongqinglou.cn,2020/7/16
安徽省,合肥市,巢湖市,富煌钢构(002743),安徽富煌钢构股份有限公司,钢铁,156704.42 ,6049.78 ,富煌钢构(002743),安徽省巢湖市黄麓镇富煌工业园,安徽省巢湖市黄麓镇富煌工业园,www.fuhuang.cn,2015/2/17
安徽省,合肥市,巢湖市,皖维高新(600063),安徽皖维高新材料股份有限公司,通用化工品,269291.92 ,25746.21 ,皖维高新(600063),安徽省巢湖市皖维路56号,安徽省巢湖市皖维路56号,www.wwgf.com.cn,1997/5/28
安徽省,合肥市,肥西县,国风塑业(000859),安徽国风塑业股份有限公司,特种化工品,57536.62 ,3304.96 ,国风塑业(000859),安徽省合肥市高新区铭传路1000号,合肥市高新区铭传路1000号,www.guofeng.com,1998/11/19
安徽省,合肥市,肥西县,美亚光电(002690),合肥美亚光电技术股份有限公司,工业机械,51572.95 ,17374.57 ,美亚光电(002690),安徽省合肥市高新区望江西路668号,安徽省合肥市长江西路669号民营科技园（W-7）,www.chinameyer.com,2012/7/31
安徽省,合肥市,肥西县,科大国创(300520),科大国创软件股份有限公司,软件与计算机服务,68192.36 ,4257.26 ,科大国创(300520),安徽省合肥市高新区文曲路355号,安徽省合肥市长江西路669号,www.kdgcsoft.com,2016/7/8
安徽省,合肥市,肥西县,欧普康视(300595),欧普康视科技股份有限公司,医疗用品,29703.74 ,14523.41 ,欧普康视(300595),安徽省合肥市高新区望江西路4899号,合肥市高新区望江西路4899号,www.orthok.cn,2017/1/17
安徽省,合肥市,肥西县,皖通高速(600012),安徽皖通高速公路股份有限公司,运输服务,81886.81 ,10357.23 ,皖通高速(600012),安徽省合肥市望江西路520号,安徽省合肥市望江西路520号,www.anhui-expressway.net,2003/1/7
