类别,省,市,县,公司简称,行政区划,公司全名,行业,员工人数,总市值(亿),股票代码,注册地,办公地,官网,成立日期,上市日期
沪A股,上海市,市辖区,黄浦区,浦发银行,310101,上海浦东发展银行股份有限公司,银行,62987,3117.2,600000,上海市黄浦区中山东一路12号,上海市黄浦区中山东一路12号,www.spdb.com.cn,10/18/1992,11/10/1999
沪A股,广东省,广州市,白云区,白云机场,440111,广州白云国际机场股份有限公司,机场航运,9878,208.98,600004,广东省广州市白云区白云国际机场南工作区自编一号,广东省广州市白云区白云国际机场东南工作区空港南横四路综合服务大楼一区,www.baiyunport.com,9/18/2000,4/28/2003
沪A股,湖北省,襄阳市,襄州区,东风股份,420607,东风汽车股份有限公司,汽车整车,4365,141,600006,湖北省襄阳市襄州区高新区东风汽车大道劲风路3幢,湖北省武汉市汉阳区经济技术开发区创业路58号,www.dfac.com,7/20/1999,7/27/1999
沪A股,北京市,市辖区,朝阳区,中国国贸,110105,中国国际贸易中心股份有限公司,房地产,1794,229.56,600007,北京市朝阳区建国门外大街1号,北京市朝阳区建国门外大街1号,www.cwtc.com,10/14/1997,3/12/1999
沪A股,北京市,市辖区,西城区,首创环保,110102,北京首创生态环保集团股份有限公司,环境治理,16058,227.56,600008,北京市西城区车公庄大街21号39幢16层,北京市西城区车公庄大街21号2号楼,www.capitaleco-pro.com,8/30/1999,4/27/2000
沪A股,上海市,市辖区,浦东新区,上海机场,310115,上海国际机场股份有限公司,机场航运,12999,803.53,600009,上海市浦东新区启航路900号,上海市浦东新区启航路900号,www.shairport.com,2/10/1998,2/18/1998
沪A股,内蒙古自治区,包头市,昆都仑区,包钢股份,150203,内蒙古包钢钢联股份有限公司,钢铁,25259,810.67,600010,内蒙古自治区包头市昆都仑区河西工业区,内蒙古自治区包头市昆都仑区包钢信息大楼主楼,www.baoganggf.com,6/28/1999,3/9/2001
沪A股,北京市,市辖区,西城区,华能国际,110102,华能国际电力股份有限公司,电力,56263,1108.29,600011,北京市西城区复兴门内大街6号(华能大厦),北京市西城区复兴门内大街6号(华能大厦),www.hpi.com.cn,6/29/1994,12/6/2001
沪A股,安徽省,合肥市,蜀山区,皖通高速,340104,安徽皖通高速公路股份有限公司,公路铁路运输,1936,291.92,600012,安徽省合肥市蜀山区望江西路520号,安徽省合肥市蜀山区望江西路520号,www.anhui-expressway.net,8/14/1996,1/7/2003
沪A股,北京市,市辖区,东城区,华夏银行,110101,华夏银行股份有限公司,银行,38937,1262.05,600015,北京市东城区建国门内大街22号,北京市东城区建国门内大街22号华夏银行大厦,www.hxb.com.cn,10/13/1992,9/12/2003
沪A股,北京市,市辖区,西城区,民生银行,110102,中国民生银行股份有限公司,银行,63490,1746.92,600016,北京市西城区复兴门内大街2号,北京市西城区复兴门内大街2号,www.cmbc.com.cn,2/6/1996,12/19/2000
沪A股,山东省,日照市,东港区,日照港,371102,日照港股份有限公司,港口航运,5794,96.88,600017,山东省日照市东港区海滨二路,山东省日照市东港区海滨二路,www.rzpcl.com,7/14/2002,10/17/2006
沪A股,上海市,市辖区,浦东新区,上港集团,310115,上海国际港务(集团)股份有限公司,港口航运,13016,1282.8,600018,上海市浦东新区中国(上海)自由贸易试验区临港新片区同汇路1号综合大楼A区4楼,上海市虹口区东大名路358号(国际港务大厦),www.portshanghai.com.cn,10/20/1988,7/19/2000
沪A股,上海市,市辖区,宝山区,宝钢股份,310113,宝山钢铁股份有限公司,钢铁,43126,1445.97,600019,上海市宝山区富锦路885号,上海市宝山区富锦路885号宝钢指挥中心,www.baosteel.com,2/2/2000,12/12/2000
沪A股,河南省,郑州市,金水区,中原高速,410105,河南中原高速公路股份有限公司,公路铁路运输,3059,99.11,600020,河南省郑州市金水区徐庄东路97号牛顿国际B座3楼H11,河南省郑州市金水区郑东新区农业东路100号,www.zygs.com,12/27/2000,8/8/2003
沪A股,上海市,市辖区,浦东新区,上海电力,310115,上海电力股份有限公司,电力,7266,247.87,600021,上海市浦东新区高科西路1号上电大厦,上海市浦东新区高科西路1号上电大厦,www.shanghaipower.com,6/3/1998,10/29/2003
沪A股,山东省,济南市,钢城区,山东钢铁,370117,山东钢铁股份有限公司,钢铁,16535,139.09,600022,山东省济南市钢城区府前大街99号,山东省济南市钢城区府前大街99号,,12/28/2000,6/29/2004
沪A股,浙江省,杭州市,西湖区,浙能电力,330106,浙江浙能电力股份有限公司,电力,9897,761.62,600023,浙江省杭州市西湖区天目山路152号浙能大厦2楼,浙江省杭州市西湖区紫荆花路36号浙能源力科创中心A座10层,www.zzepc.com.cn,3/13/1992,12/19/2013
沪A股,云南省,昆明市,官渡区,华能水电,530111,华能澜沧江水电股份有限公司,电力,5008,1670.4,600025,云南省昆明市官渡区世纪城中路1号,云南省昆明市官渡区世纪城中路1号,www.hnlcj.cn,2/7/2001,12/15/2017
沪A股,上海市,市辖区,浦东新区,中远海能,310115,中远海运能源运输股份有限公司,港口航运,7854,479.94,600026,上海市浦东新区中国(上海)自由贸易试验区临港新片区业盛路188号A-1015室,上海市虹口区东大名路670号,energy.coscoshipping.com,7/25/1996,5/23/2002
沪A股,山东省,济南市,历下区,华电国际,370102,华电国际电力股份有限公司,电力,25093,587.06,600027,山东省济南市历下区经十路14800号,北京市西城区宣武门内大街2号,www.hdpi.com.cn,6/27/1994,2/3/2005
沪A股,北京市,市辖区,朝阳区,中国石化,110105,中国石油化工股份有限公司,石油加工贸易,355952,6888.79,600028,北京市朝阳区朝阳门北大街22号,北京市朝阳区朝阳门北大街22号,www.sinopec.com,2/24/2000,8/8/2001
沪A股,广东省,广州市,黄埔区,南方航空,440112,中国南方航空股份有限公司,机场航运,102597,1034.7,600029,广东省广州市黄埔区玉岩路12号冠昊科技园区一期办公楼3楼301室,广东省广州市白云区齐心路68号中国南方航空大厦,www.csair.com,3/24/1995,7/25/2003
沪A股,广东省,深圳市,福田区,中信证券,440304,中信证券股份有限公司,证券,26781,3715.51,600030,广东省深圳市福田区中心三路8号卓越时代广场(二期)北座,广东省深圳市福田区中心三路8号中信证券大厦;北京市朝阳区亮马桥路48号中信证券大厦,www.citics.com,10/24/1995,1/6/2003
沪A股,北京市,市辖区,昌平区,三一重工,110114,三一重工股份有限公司,工程机械,25363,1625.5,600031,北京市昌平区北清路8号6栋5楼,北京市昌平区北清路8号,www.sany.com.cn,11/21/1994,7/3/2003
沪A股,浙江省,杭州市,上城区,浙江新能,330102,浙江省新能源投资集团股份有限公司,电力,991,189.49,600032,浙江省杭州市上城区凯旋街道凤起东路8号,浙江省杭州市上城区凯旋街道凤起东路8号,,7/31/2002,5/25/2021
沪A股,福建省,福州市,鼓楼区,福建高速,350102,福建发展高速公路股份有限公司,公路铁路运输,1205,100.17,600033,福建省福州市鼓楼区东水路18号福建交通综合大楼26层,福建省福州市仓山区城门镇林浦路367号林浦广场5号楼8-9层,www.fjgs.com.cn,6/27/1999,2/9/2001
