销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
1857479 ,835073 ,45.0%,宁波市,鄞州区,宁波银行,宁波银行股份有限公司,银行业（IV）,宁波银行(002142),浙江省宁波市鄞州区宁东路345号,浙江省宁波市鄞州区宁南南路700号,www.nbcb.com.cn,2007/7/19
2772974 ,668415 ,24.1%,杭州市,滨江区,海康威视,杭州海康威视数字技术股份有限公司,电子设备,海康威视(002415),浙江省杭州市滨江区阡陌路555号,浙江省杭州市滨江区阡陌路555号,www.hikvision.com,2010/5/28
3758368 ,477793 ,12.7%,杭州市,西湖区,浙能电力,浙江浙能电力股份有限公司,电力（IV）,浙能电力(600023),浙江省杭州市天目山路152号浙能大厦2楼,浙江省杭州市天目山路152号浙能大厦2楼,www.zzepc.com.cn,2013/12/19
1020784 ,421809 ,41.3%,杭州市,下城区,杭州银行,杭州银行股份有限公司,金融服务业,杭州银行(600926),浙江省杭州市下城区庆春路46号,浙江省杭州市下城区庆春路46号,www.hzbank.com.cn,2016/10/27
1300244 ,306855 ,23.6%,宁波市,北仑区,宁波港,宁波港股份有限公司,运输服务,宁波港(601018),浙江省宁波市江东区宁东路269号宁波环球航运广场第1-4层（除2-2）、第40-46层,浙江省宁波市北仑区明州路301号宁波港大厦,www.nbport.com.cn,2010/9/28
738285 ,297035 ,40.2%,宁波市,海曙区,雅戈尔,雅戈尔集团股份有限公司,不动产投资开发,雅戈尔(600177),浙江省宁波市海曙区鄞县大道西段2号,浙江省宁波市海曙区鄞县大道西段2号,www.youngor.com,1998/11/19
1121665 ,252777 ,22.5%,绍兴市,上虞区,浙江龙盛,浙江龙盛集团股份有限公司,特种化工品,浙江龙盛(600352),浙江省绍兴市杭州湾上虞经济技术开发区东一区至远路二号,浙江省绍兴市上虞区道墟镇,www.longsheng.com,2003/8/1
1593659 ,232149 ,14.6%,温州市,乐清市北白象镇正泰工业园区,正泰电器,浙江正泰电器股份有限公司,电子电气组件与设备,正泰电器(601877),浙江省乐清市北白象镇正泰工业园区正泰路1号,浙江省乐清市北白象镇正泰工业园区正泰路1号,www.chint.net,2010/1/21
19277951 ,199521 ,1.0%,杭州市,下城区,物产中大,物产中大集团股份有限公司,综合供应商,物产中大(600704),浙江省杭州市中大广场A座,浙江省杭州市中大广场A座,www.zhongda.com,1996/6/6
2145087 ,191756 ,8.9%,杭州市,拱墅区,华东医药,华东医药股份有限公司,药品零售,华东医药(000963),浙江省杭州市延安路468号1号楼1号门9、10楼,浙江省杭州市莫干山路866号（祥符桥）,www.eastchinapharm.com,2000/1/27
932488 ,185795 ,19.9%,杭州市,西湖区,新湖中宝,新湖中宝股份有限公司,不动产投资开发,新湖中宝(600208),浙江省嘉兴市中山路禾兴路口,浙江省杭州市西溪路128号新湖商务大厦11层,www.600208.net,1999/6/23
649326 ,180983 ,27.9%,杭州市,江干区,滨江集团,杭州滨江房产集团股份有限公司,不动产投资开发,滨江集团(002244),浙江省杭州市庆春东路38号,浙江省杭州市庆春东路38号,www.binjiang.com.cn,2008/5/29
893744 ,176081 ,19.7%,金华市,义乌市,小商品城,浙江中国小商品城集团股份有限公司,综合工业,小商品城(600415),浙江省义乌市福田路105号海洋商务写字楼,浙江省义乌市福田路105号海洋商务写字楼,www.cccgroup.com.cn,2002/5/9
5236280 ,172634 ,3.3%,杭州市,萧山区,荣盛石化,荣盛石化股份有限公司,通用化工品,荣盛石化(002493),浙江省杭州市萧山区益农镇红阳路98号,浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼,www.cnrspc.com,2010/11/2
4708993 ,163113 ,3.5%,杭州市,萧山区,恒逸石化,恒逸石化股份有限公司,通用化工品,恒逸石化(000703),广西壮族自治区北海市北海大道西16号海富大厦第七层G号,浙江省杭州市萧山区市心北路260号恒逸?南岸明珠3栋24楼,www.hengyishihua.com,1997/3/28
116739 ,161330 ,138.2%,杭州市,下城区,浙数文化,浙报数字文化集团股份有限公司,出版业,浙数文化(600633),浙江省杭州市体育场路178号26-27楼,浙江省杭州市体育场路178号浙报产业大厦,www.stof.com.cn,1993/3/4
1172329 ,154708 ,13.2%,杭州市,滨江区,大华股份,浙江大华技术股份有限公司,电子设备,大华股份(002236),浙江省杭州市滨江区滨安路1187号,浙江省杭州市滨江区滨安路1199号,www.dahuatech.com,2008/5/20
312370 ,145837 ,46.7%,杭州市,西湖区,财通证券,财通证券股份有限公司,金融服务业,财通证券(601108),浙江省杭州市杭大路15号嘉华国际商务中心201，501，502，1103，1601-1615，1701-1716室,浙江省杭州市杭大路15号嘉华国际商务中心201，501，502，1103，1601-1615，1701-1716,www.ctsec.com,2017/10/24
